run_id,plan_key,started_at,attempts,succeeded
702e675e-1bfd-4636-bfbb-75cb0220c9bc,plan-304a68eda265,2026-09-11 21:12:24.660176+08:00,2,0
09302236-9458-44e6-9fa0-a6ee4f5b0ced,plan-92479d0d671d,2026-09-11 21:12:24.157954+08:00,2,0
c4626f70-9b73-4f9d-ab7a-a6a21fcce394,cw6-dedf837b,2026-09-11 21:11:39.844158+08:00,2,2
00d20f24-c836-4cfc-9f0d-924f841e9578,cw6-f00dce33,2026-09-11 21:11:38.540238+08:00,2,2
33620f06-a88c-41e8-99e9-3a09d37a6c89,cw6-a0cc67a8,2026-09-11 21:11:37.493951+08:00,2,2
fcfc0be6-9614-49b5-b3f6-e331c19a12b0,plan-ai-5b1ea791,2026-09-11 21:11:25.307989+08:00,2,2
66622cec-f342-495b-b52e-bc7e39d0a64a,cw4-cf43b47a,2026-09-11 21:11:23.748065+08:00,4,4
da933ba5-72b3-495e-8562-5d61b6d64fd0,cw4-0389cebc,2026-09-11 21:11:21.349413+08:00,4,4
8a379fd4-68db-4863-b032-4883bcd1c873,cw4-e300b98d,2026-09-11 21:11:19.936906+08:00,4,4
846109c9-5851-4f31-a24e-66eda7d8a835,cw3-budget-d7d34dac,2026-09-11 21:11:19.206646+08:00,2,0
b25a3e0d-f93c-40c5-ae40-7d76c298f84d,cw3-trace,2026-09-11 21:11:18.734405+08:00,2,0
527c3116-36cd-4411-afd0-4ae0a912c9b0,cw3-kill,2026-09-11 21:11:18.267645+08:00,2,0
f5533c07-f808-4110-b5e9-6a7c7aace24d,cw3-dup,2026-09-11 21:11:18.007700+08:00,1,0
34acff41-b6ce-4b83-ac46-d1a430182a6a,cw3-fence,2026-09-11 21:11:17.640617+08:00,1,0
95b3301c-361b-41e8-ab58-19b43344897a,cw3-b125eacf,2026-09-11 21:11:16.583793+08:00,4,4
37f4eef2-94f8-4884-8085-47230eadd047,plan-audit-chain-7543976a,2026-09-11 21:09:55.080391+08:00,6,6
